country,orderId,consumerId,orderDateTime,totalAmount,totalQuantity
Kyrgyz Republic,o911daec-218f-44d5-9b15-5f496b108808,cff65808-f909-4418-b8b5-0efe7e85a8c2,2021-10-06 00:37:59,2965,1030
Kyrgyz Republic,o2192e60-ab8e-4778-8b46-c0e6cdf0d2d6,cff65808-f909-4418-b8b5-0efe7e85a8c2,2022-12-02 07:59:31,6500,1589
Kyrgyz Republic,o7c49990-64aa-40cd-85b8-5f2c3395d780,cff65808-f909-4418-b8b5-0efe7e85a8c2,2017-06-09 04:57:30,10282,1384
Kyrgyz Republic,off05b83-7b77-4d42-95be-59522e9322fe,cff65808-f909-4418-b8b5-0efe7e85a8c2,2018-07-02 07:54:17,17059,1222
Kyrgyz Republic,o0bbcdc0-39e6-4225-8384-18d6cb530d94,cff65808-f909-4418-b8b5-0efe7e85a8c2,2018-06-05 04:02:25,13589,1485
Kyrgyz Republic,oec436c6-92e8-4722-a6c5-22bfc6e18cc7,cff65808-f909-4418-b8b5-0efe7e85a8c2,2021-11-06 16:16:22,1098,661
Kyrgyz Republic,o5e681b6-d1c8-4921-9177-58f8166c28a8,cff65808-f909-4418-b8b5-0efe7e85a8c2,2023-06-16 18:58:12,9529,1229
Kyrgyz Republic,od10be5f-cb83-4185-899b-4eb6ba05906e,cff65808-f909-4418-b8b5-0efe7e85a8c2,2016-12-18 17:09:40,1082,910
Kyrgyz Republic,oba42bfb-fbac-4e1f-9c31-20f9acae238d,cff65808-f909-4418-b8b5-0efe7e85a8c2,2017-11-10 20:43:59,12661,1813
Kyrgyz Republic,ocb2be8c-1589-485b-b840-d116703db13e,cff65808-f909-4418-b8b5-0efe7e85a8c2,2021-10-26 12:16:15,16638,524
Kyrgyz Republic,of35b652-bcb0-4871-b5d6-e3ef04d0d90e,cff65808-f909-4418-b8b5-0efe7e85a8c2,2016-04-29 14:02:30,9735,1260
Kyrgyz Republic,o2769744-f50c-4c31-af5f-64456de2b74d,cff65808-f909-4418-b8b5-0efe7e85a8c2,2023-09-03 12:28:46,8135,1889
Kyrgyz Republic,o790a904-2b05-4b1f-8133-52cdfae5a37a,cff65808-f909-4418-b8b5-0efe7e85a8c2,2018-03-29 00:03:19,17183,731
Kyrgyz Republic,oa226d88-44cb-4261-a125-9519e5cf4498,cff65808-f909-4418-b8b5-0efe7e85a8c2,2017-02-27 09:45:48,8475,856
Kyrgyz Republic,odd14bdb-bed3-42f2-a544-9f8202150c34,cff65808-f909-4418-b8b5-0efe7e85a8c2,2017-02-24 04:42:45,11693,653
Kyrgyz Republic,o101ae6b-532b-41cc-8933-02bde3018dbd,cff65808-f909-4418-b8b5-0efe7e85a8c2,2017-09-24 18:27:29,4068,992
Kyrgyz Republic,o23ba257-94e5-4518-97fb-5e63a0250bd6,cff65808-f909-4418-b8b5-0efe7e85a8c2,2021-03-17 15:26:43,1617,1733
Kyrgyz Republic,o454a626-dd04-49ec-951f-d03d8de1f88a,cff65808-f909-4418-b8b5-0efe7e85a8c2,2016-08-12 14:31:09,3196,1880
Kyrgyz Republic,o707beb9-0eeb-4ac8-a10b-3ddc75ed585e,cff65808-f909-4418-b8b5-0efe7e85a8c2,2020-01-26 07:10:23,6334,862
Kyrgyz Republic,o90c377a-6502-4de5-af93-27a989ee4c5d,cff65808-f909-4418-b8b5-0efe7e85a8c2,2023-11-06 03:26:21,6591,1585
Kyrgyz Republic,o5b6b7d7-7ea0-4802-bc6d-c45178f743de,cff65808-f909-4418-b8b5-0efe7e85a8c2,2016-08-22 05:17:40,18768,279
Kyrgyz Republic,off77e0d-fbac-4dff-96d8-42ae0438fa3e,cff65808-f909-4418-b8b5-0efe7e85a8c2,2022-08-22 21:31:26,14408,1650
Kyrgyz Republic,o688792f-2c44-46c0-bce8-b1554514fca5,cff65808-f909-4418-b8b5-0efe7e85a8c2,2018-07-20 10:04:37,7697,1091
Kyrgyz Republic,o34bcfca-dba1-4579-8d86-b155f4b0d303,cff65808-f909-4418-b8b5-0efe7e85a8c2,2022-08-10 03:16:08,16265,1994
Kyrgyz Republic,o86b70ab-52fe-45fd-9763-269da07a4ee4,cff65808-f909-4418-b8b5-0efe7e85a8c2,2018-10-27 12:08:44,9912,1273
Kyrgyz Republic,odf75182-0b6e-48f2-83cd-d35a92a086db,cff65808-f909-4418-b8b5-0efe7e85a8c2,2017-02-18 19:49:41,11365,1315
Kyrgyz Republic,o0994e16-86e7-4a4f-904a-782574ecfe65,cff65808-f909-4418-b8b5-0efe7e85a8c2,2016-03-02 02:13:16,13691,478
Kyrgyz Republic,ofb2566d-c643-45fa-b2eb-6e91950bef6c,cff65808-f909-4418-b8b5-0efe7e85a8c2,2016-01-06 18:51:09,1571,901
Kyrgyz Republic,ofdc3f37-edbc-4818-a938-0080455d613d,cff65808-f909-4418-b8b5-0efe7e85a8c2,2019-03-08 17:59:48,6663,1562
Kyrgyz Republic,o338f625-cc58-4f38-93de-a2042f111df0,cff65808-f909-4418-b8b5-0efe7e85a8c2,2018-07-17 18:04:07,14965,1062
Kyrgyz Republic,o033ec22-8589-4e44-a3c1-7287a5b16fa4,cff65808-f909-4418-b8b5-0efe7e85a8c2,2019-11-24 11:29:03,12548,917
Kyrgyz Republic,ob0438f7-e5ef-44ac-a9e0-799cda3e300d,cff65808-f909-4418-b8b5-0efe7e85a8c2,2021-10-06 15:07:19,10472,582
Kyrgyz Republic,oa551551-c078-4ad2-9702-f71698b0faca,cff65808-f909-4418-b8b5-0efe7e85a8c2,2019-05-26 12:00:03,1710,1105
Kyrgyz Republic,o39881cc-91c4-4ac6-9a08-7b6eef711691,cff65808-f909-4418-b8b5-0efe7e85a8c2,2020-12-05 20:54:02,17310,606
Kyrgyz Republic,oe3f6f92-f3c9-4a5b-bc17-c874c4c1a14b,cff65808-f909-4418-b8b5-0efe7e85a8c2,2019-06-02 22:12:09,13038,1026
Kyrgyz Republic,o1ca5853-88ca-41aa-b500-c06392bf69e0,cff65808-f909-4418-b8b5-0efe7e85a8c2,2019-01-23 05:17:28,13725,525
Kyrgyz Republic,o403f5de-8e02-4aa3-ae2d-7c5284c75b51,cff65808-f909-4418-b8b5-0efe7e85a8c2,2022-07-21 20:20:27,6348,152
